Project_id,Project name,Project link,VT link,VT detection result,Propogation link,Propogation method
0,express,https://github.com/expressjs/express,https://www.virustotal.com/gui/file/12414f5b27a4f70315ffb94f5bdaf7bf06571efaf83d135457dcf2a2d24ee8f9/detection/,0/58,Pass,
1,discourse,https://github.com/discourse/discourse,https://www.virustotal.com/gui/file/43cc1f9517a76211afbf29e594301406e09e14c2d80ef69afc3d2001bd9a907a/detection/,0/49,Pass,
2,jdroid-android,https://github.com/maxirosson/jdroid-android,https://www.virustotal.com/gui/file/4c3f7aae43bfadb3b2264ed278eead24bd88764fba3af3e881987ad99623862f/detection/,0/58,Pass,
3,cmd-key-happy,https://github.com/frobware/cmd-key-happy,https://www.virustotal.com/gui/file/4f87266737886bc355c9ab38b5881fdf657a40851301c56e49aa00e43d6c78e3/detection/,0/58,Pass,
4,django,https://github.com/django/django,https://www.virustotal.com/gui/file/4664c5e7447aa5c7f0481bb7ff2660aee1661791010f201f541f1b60bdecbb21/detection/,0/55,Pass,
5,yii2-wschat,https://github.com/joni-jones/yii2-wschat,https://www.virustotal.com/gui/file/bf00cbcc24244170807e92cf73542cf8d4c66119ab7370536b952fe97aecc5a9/detection/,0/58,Pass,
6,socket,https://github.com/amphp/socket,https://www.virustotal.com/gui/file/c0d7a1348261b43f4bc202532d57a762eb4a576051f45f3647beab9be3405f91/detection/,0/56,Pass,
7,duel-shooting-online,https://github.com/supercaracal/duel-shooting-online,https://www.virustotal.com/gui/file/d8f813c7815165d5a62bbe533ab297d60698283993776c643a976f99c9815ce6/detection/,0/57,Pass,
8,publications,https://github.com/carlos-kelly/publications,https://www.virustotal.com/gui/file/0518c9f57635b03f3d1fab438a30f0501e790d9624e71006c61bdbc06a6b03a8/detection/,0/58,Pass,
9,ES6,https://github.com/huanghui8030/ES6,https://www.virustotal.com/gui/file/7c700e1a795af159784b3236003c7cc9437358738b5e5fcac42126c22dbd732b/detection/,0/56,Pass,
10,cht-core,https://github.com/medic/cht-core,https://www.virustotal.com/gui/file/648fe827bb5c30103ad9029220976f0d40029ff832a83a60e3547ebda3f62875/detection/,0/56,Pass,
11,photovision_tv_function_unlocker,https://github.com/173210/photovision_tv_function_unlocker,https://www.virustotal.com/gui/file/a0cbe03eabe881018e01e33b4e59a9eb8baad2731fee63abda8c4853c7ad53b5/detection/,0/57,Pass,
12,doona,https://github.com/wireghoul/doona,https://www.virustotal.com/gui/file/eb7efa13a00c192bfc1f7191d06d2e38e6e1eecf37b1d3a5ca0c587d996fd11e/detection/,0/57,Pass,
